Raw RH Runs
Rows,Hits,Seed,Flips,Flip %,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
20,50000,1,1,0.05,0,147879165196.8,22516268544.0,0.0,0.0,8899093862.4,8581937280.0,92.13189463189464
20,50000,2,1,0.05,0,147879143500.8,22516268544.0,0.0,0.0,8899071590.4,8581937280.0,92.12867112867113
20,50000,3,6,0.3,0,147879165945.59998,22516268544.0,0.0,0.0,8899058227.199999,8582004480.0,92.12635562635563
20,50000,4,2,0.1,0,147879350064.0,22516268544.0,0.0,0.0,8899352217.599998,8581802880.0,92.14228764228764
20,50000,5,3,0.15,0,147879086832.0,22516268544.0,0.0,0.0,8899062681.599998,8581849920.0,92.13865013865014
20,50000,6,2,0.1,0,147879320755.2,22516268544.0,0.0,0.0,8899142860.8,8582138880.0,92.11734261734262
20,50000,7,2,0.1,0,147879454377.59998,22516268544.0,0.0,0.0,8899325491.199999,8582044800.0,92.13181613181614
20,50000,8,4,0.2,0,147878693568.0,22516268544.0,0.0,0.0,8898617241.599998,8581944000.0,92.12988362988364
20,50000,9,6,0.3,0,147879662524.8,22516268544.0,0.0,0.0,8899606118.4,8581910400.0,92.14178414178414
20,50000,10,3,0.15,0,147879399302.4,22516268544.0,0.0,0.0,8899356672.0,8581883520.0,92.13658413658413
20,100000,1,14,0.7,0,295759325404.8,45033601536.0,0.0,0.0,17797982822.399998,17163928320.0,92.13078256539129
20,100000,2,9,0.45,0,295759921814.39996,45033601536.0,0.0,0.0,17798535168.0,17164008960.0,92.12463056231528
20,100000,3,16,0.8,0,295758767616.0,45033601536.0,0.0,0.0,17797439385.6,17163901440.0,92.12899531449766
20,100000,4,19,0.95,0,295759764230.4,45033601536.0,0.0,0.0,17798512896.0,17163760320.0,92.13645256822629
20,100000,5,13,0.65,0,295759759651.2,45033601536.0,0.0,0.0,17798588620.8,17163612480.0,92.14126957063479
20,100000,6,10,0.5,0,295759812403.2,45033601536.0,0.0,0.0,17798410444.8,17164042560.0,92.12757106378554
20,100000,7,10,0.5,0,295759666579.19995,45033601536.0,0.0,0.0,17798276812.8,17164015680.0,92.12875581437791
20,100000,8,14,0.7,0,295759544899.2,45033601536.0,0.0,0.0,17798232268.8,17163867840.0,92.13237606618803
20,100000,9,19,0.95,0,295759587273.6,45033601536.0,0.0,0.0,17798325811.199997,17163773760.0,92.13514506757254
20,100000,10,16,0.8,0,295760003884.8,45033601536.0,0.0,0.0,17798851430.399998,17163572160.0,92.14232032116016
20,200000,1,27,1.35,0,591520964851.2,90068267520.0,0.0,0.0,35597279692.799995,34327534080.0,92.1359069259651
20,200000,2,24,1.2,0,591520893532.7999,90068267520.0,0.0,0.0,35597163878.399994,34327614720.0,92.13615830105937
20,200000,3,31,1.55,0,591520828416.0,90068267520.0,0.0,0.0,35597110425.6,34327594560.0,92.13499317562244
20,200000,4,32,1.6,0,591521851507.2,90068267520.0,0.0,0.0,35598126028.799995,34327614720.0,92.13713855142696
20,200000,5,28,1.4,0,591520874169.6001,90068267520.0,0.0,0.0,35597306419.2,34327319040.0,92.13991505246814
20,200000,6,24,1.2,0,591520949683.2,90068267520.0,0.0,0.0,35597301964.799995,34327473600.0,92.13484742556778
20,200000,7,29,1.45,0,591519979382.3999,90068267520.0,0.0,0.0,35596090368.0,34327903680.0,92.13002604875977
20,200000,8,31,1.55,0,591521301571.2,90068267520.0,0.0,0.0,35597658316.799995,34327453440.0,92.13840205190077
20,200000,9,32,1.6,0,591521210688.0,90068267520.0,0.0,0.0,35597444505.6,34327681920.0,92.13535317575744
20,200000,10,36,1.8,0,591521217561.6,90068267520.0,0.0,0.0,35597595955.2,34327419840.0,92.13775267665726
50,50000,1,7,0.14,0,369699316099.19995,56292268032.0,0.0,0.0,22247309260.8,21454896960.0,92.13350045340019
50,50000,2,4,0.08,0,369700838572.80005,56292268032.0,0.0,0.0,22248997478.399998,21454594560.0,92.14250345700138
50,50000,3,9,0.18,0,369699524601.6,56292268032.0,0.0,0.0,22247692339.199997,21454581120.0,92.13790705516283
50,50000,4,9,0.18,0,369701241129.6,56292268032.0,0.0,0.0,22249385011.199997,21454628160.0,92.13890405556162
50,50000,5,9,0.18,0,369699139315.19995,56292268032.0,0.0,0.0,22246886092.8,21455360640.0,92.11963244785298
50,50000,7,5,0.1,0,369700335878.4,56292268032.0,0.0,0.0,22248413952.0,21454749120.0,92.13314965325986
50,50000,8,10,0.2,0,369699919056.0,56292268032.0,0.0,0.0,22247741337.6,21455226240.0,92.1280132512053
50,50000,9,12,0.24,0,369700869436.7999,56292268032.0,0.0,0.0,22248730214.399998,21455152320.0,92.12955925182371
50,50000,10,10,0.2,0,369699776102.39996,56292268032.0,0.0,0.0,22247834880.0,21454789440.0,92.1329372531749
50,100000,1,31,0.62,0,739400565936.0,112585600512.0,0.0,0.0,44495709849.6,42909336960.0,92.13756004126802
50,100000,2,22,0.44,0,739403421705.6001,112585600512.0,0.0,0.0,44498823475.2,42908866560.0,92.14648432929687
50,100000,3,32,0.64,0,739399728336.0,112585600512.0,0.0,0.0,44494707609.6,42909652800.0,92.13161042632208
50,100000,4,41,0.82,0,739401686361.6001,112585600512.0,0.0,0.0,44496752179.2,42909491520.0,92.13555982711196
50,100000,5,31,0.62,0,739400466048.0,112585600512.0,0.0,0.0,44495130777.6,42910230720.0,92.12699072539814
50,100000,6,26,0.52,0,739403069721.6001,112585600512.0,0.0,0.0,44497865779.2,42909988800.0,92.13597382719476
50,100000,7,30,0.6,0,739400642563.2,112585600512.0,0.0,0.0,44495611852.799995,42909666240.0,92.13024742604948
50,100000,8,33,0.66,0,739402146787.2,112585600512.0,0.0,0.0,44497037260.799995,42909820800.0,92.1349395269879
50,100000,9,42,0.84,0,739403327452.8,112585600512.0,0.0,0.0,44498235494.399994,42909780480.0,92.13500212700042
50,100000,10,40,0.8,0,739400640528.0,112585600512.0,0.0,0.0,44495709849.6,42909478080.0,92.13497872699574
50,200000,1,80,1.6,0,1478803110633.5999,225171201024.0,0.0,0.0,88993156915.2,85818774720.0,92.1363540204531
50,200000,2,64,1.28,0,1478805501043.2,225171201024.0,0.0,0.0,88995669196.79999,85818559680.0,92.14137572120636
50,200000,3,72,1.44,0,1478801599180.7998,225171201024.0,0.0,0.0,88991655782.4,85818768000.0,92.13493117023968
50,200000,4,73,1.46,0,1478804924246.4,225171201024.0,0.0,0.0,88995214848.0,85818324480.0,92.13978092096714
50,200000,5,68,1.36,0,1478805148032.0,225171201024.0,0.0,0.0,88994586777.59999,85819903680.0,92.13151191972679
50,200000,6,66,1.32,0,1478804042688.0,225171201024.0,0.0,0.0,88993317273.59999,85820206080.0,92.13246706987006
50,200000,7,75,1.5,0,1478800975180.7998,225171201024.0,0.0,0.0,88990720358.4,85819339200.0,92.13134891970233
50,200000,8,68,1.36,0,1478804049446.4,225171201024.0,0.0,0.0,88993722624.0,85819480320.0,92.1361453704218
50,200000,9,71,1.42,0,1478805193968.0,225171201024.0,0.0,0.0,88994720409.59999,85819742400.0,92.13498577024787
50,200000,10,83,1.66,0,1478803813929.5999,225171201024.0,0.0,0.0,88993780531.2,85818929280.0,92.13624652043698
50,50000,6,5,0.1,0,369700517462.4,56292268032.0,0.0,0.0,22248302592.0,21455286720.0,92.13011005204402

RH Runs with TRR
Rows,Hits,Seed,Flips,Flip %,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
20,50000,1,0,0.0,260,148155921676.8,22516268544.0,276756480.0,0.0,8899093862.4,8581937280.0,92.13189463189464
20,50000,2,0,0.0,260,148155899980.8,22516268544.0,276756480.0,0.0,8899071590.4,8581937280.0,92.12867112867113
20,50000,3,0,0.0,260,148155922425.59998,22516268544.0,276756480.0,0.0,8899058227.199999,8582004480.0,92.12635562635563
20,50000,4,0,0.0,260,148156106544.0,22516268544.0,276756480.0,0.0,8899352217.599998,8581802880.0,92.14228764228764
20,50000,5,0,0.0,260,148155843312.0,22516268544.0,276756480.0,0.0,8899062681.599998,8581849920.0,92.13865013865014
20,50000,6,0,0.0,260,148156077235.2,22516268544.0,276756480.0,0.0,8899142860.8,8582138880.0,92.11734261734262
20,50000,7,0,0.0,260,148156210857.59998,22516268544.0,276756480.0,0.0,8899325491.199999,8582044800.0,92.13181613181614
20,50000,8,0,0.0,260,148155450048.0,22516268544.0,276756480.0,0.0,8898617241.599998,8581944000.0,92.12988362988364
20,50000,9,0,0.0,260,148156419004.8,22516268544.0,276756480.0,0.0,8899606118.4,8581910400.0,92.14178414178414
20,50000,10,0,0.0,260,148156155782.4,22516268544.0,276756480.0,0.0,8899356672.0,8581883520.0,92.13658413658413
20,100000,1,0,0.0,580,296376705244.8,45033601536.0,617379840.0,0.0,17797982822.399998,17163928320.0,92.13078256539129
20,100000,2,0,0.0,580,296377301654.39996,45033601536.0,617379840.0,0.0,17798535168.0,17164008960.0,92.12463056231528
20,100000,3,0,0.0,580,296376147456.0,45033601536.0,617379840.0,0.0,17797439385.6,17163901440.0,92.12899531449766
20,100000,4,0,0.0,580,296377144070.4,45033601536.0,617379840.0,0.0,17798512896.0,17163760320.0,92.13645256822629
20,100000,5,0,0.0,580,296377139491.2,45033601536.0,617379840.0,0.0,17798588620.8,17163612480.0,92.14126957063479
20,100000,6,0,0.0,580,296377192243.2,45033601536.0,617379840.0,0.0,17798410444.8,17164042560.0,92.12757106378554
20,100000,7,0,0.0,580,296377046419.19995,45033601536.0,617379840.0,0.0,17798276812.8,17164015680.0,92.12875581437791
20,100000,8,0,0.0,580,296376924739.2,45033601536.0,617379840.0,0.0,17798232268.8,17163867840.0,92.13237606618803
20,100000,9,0,0.0,580,296376967113.6,45033601536.0,617379840.0,0.0,17798325811.199997,17163773760.0,92.13514506757254
20,100000,10,0,0.0,580,296377383724.8,45033601536.0,617379840.0,0.0,17798851430.399998,17163572160.0,92.14232032116016
20,200000,1,0,0.0,1220,592819591411.2,90068267520.0,1298626560.0,0.0,35597279692.799995,34327534080.0,92.1359069259651
20,200000,2,0,0.0,1220,592819520092.7999,90068267520.0,1298626560.0,0.0,35597163878.399994,34327614720.0,92.13615830105937
20,200000,3,0,0.0,1220,592819454976.0,90068267520.0,1298626560.0,0.0,35597110425.6,34327594560.0,92.13499317562244
20,200000,4,0,0.0,1220,592820478067.2,90068267520.0,1298626560.0,0.0,35598126028.799995,34327614720.0,92.13713855142696
20,200000,5,0,0.0,1220,592819500729.6001,90068267520.0,1298626560.0,0.0,35597306419.2,34327319040.0,92.13991505246814
20,200000,6,0,0.0,1220,592819576243.2,90068267520.0,1298626560.0,0.0,35597301964.799995,34327473600.0,92.13484742556778
20,200000,7,0,0.0,1220,592818605942.3999,90068267520.0,1298626560.0,0.0,35596090368.0,34327903680.0,92.13002604875977
20,200000,8,0,0.0,1220,592819928131.2,90068267520.0,1298626560.0,0.0,35597658316.799995,34327453440.0,92.13840205190077
20,200000,9,0,0.0,1220,592819837248.0,90068267520.0,1298626560.0,0.0,35597444505.6,34327681920.0,92.13535317575744
20,200000,10,0,0.0,1220,592819844121.6,90068267520.0,1298626560.0,0.0,35597595955.2,34327419840.0,92.13775267665726
50,50000,1,0,0.0,650,370391207299.19995,56292268032.0,691891200.0,0.0,22247309260.8,21454896960.0,92.13350045340019
50,50000,2,0,0.0,650,370392729772.80005,56292268032.0,691891200.0,0.0,22248997478.399998,21454594560.0,92.14250345700138
50,50000,3,0,0.0,650,370391415801.6,56292268032.0,691891200.0,0.0,22247692339.199997,21454581120.0,92.13790705516283
50,50000,4,0,0.0,650,370393132329.6,56292268032.0,691891200.0,0.0,22249385011.199997,21454628160.0,92.13890405556162
50,50000,5,0,0.0,650,370391030515.19995,56292268032.0,691891200.0,0.0,22246886092.8,21455360640.0,92.11963244785298
50,50000,6,0,0.0,650,370392408662.4,56292268032.0,691891200.0,0.0,22248302592.0,21455286720.0,92.13011005204402
50,50000,7,0,0.0,650,370392227078.4,56292268032.0,691891200.0,0.0,22248413952.0,21454749120.0,92.13314965325986
50,50000,8,0,0.0,650,370391810256.0,56292268032.0,691891200.0,0.0,22247741337.6,21455226240.0,92.1280132512053
50,50000,9,0,0.0,650,370392760636.7999,56292268032.0,691891200.0,0.0,22248730214.399998,21455152320.0,92.12955925182371
50,50000,10,0,0.0,650,370391667302.39996,56292268032.0,691891200.0,0.0,22247834880.0,21454789440.0,92.1329372531749
50,100000,1,0,0.0,1450,740944015536.0,112585600512.0,1543449600.0,0.0,44495709849.6,42909336960.0,92.13756004126802
50,100000,2,0,0.0,1450,740946871305.6001,112585600512.0,1543449600.0,0.0,44498823475.2,42908866560.0,92.14648432929687
50,100000,3,0,0.0,1450,740943177936.0,112585600512.0,1543449600.0,0.0,44494707609.6,42909652800.0,92.13161042632208
50,100000,4,0,0.0,1450,740945135961.6001,112585600512.0,1543449600.0,0.0,44496752179.2,42909491520.0,92.13555982711196
50,100000,5,0,0.0,1450,740943915648.0,112585600512.0,1543449600.0,0.0,44495130777.6,42910230720.0,92.12699072539814
50,100000,6,0,0.0,1450,740946519321.6001,112585600512.0,1543449600.0,0.0,44497865779.2,42909988800.0,92.13597382719476
50,100000,7,0,0.0,1450,740944092163.2,112585600512.0,1543449600.0,0.0,44495611852.799995,42909666240.0,92.13024742604948
50,100000,8,0,0.0,1450,740945596387.2,112585600512.0,1543449600.0,0.0,44497037260.799995,42909820800.0,92.1349395269879
50,100000,9,0,0.0,1450,740946777052.8,112585600512.0,1543449600.0,0.0,44498235494.399994,42909780480.0,92.13500212700042
50,100000,10,0,0.0,1450,740944090128.0,112585600512.0,1543449600.0,0.0,44495709849.6,42909478080.0,92.13497872699574
50,200000,1,0,0.0,3050,1482049677033.5999,225171201024.0,3246566400.0,0.0,88993156915.2,85818774720.0,92.1363540204531
50,200000,2,0,0.0,3050,1482052067443.2,225171201024.0,3246566400.0,0.0,88995669196.79999,85818559680.0,92.14137572120636
50,200000,3,0,0.0,3050,1482048165580.7998,225171201024.0,3246566400.0,0.0,88991655782.4,85818768000.0,92.13493117023968
50,200000,4,0,0.0,3050,1482051490646.4,225171201024.0,3246566400.0,0.0,88995214848.0,85818324480.0,92.13978092096714
50,200000,5,0,0.0,3050,1482051714432.0,225171201024.0,3246566400.0,0.0,88994586777.59999,85819903680.0,92.13151191972679
50,200000,6,0,0.0,3050,1482050609088.0,225171201024.0,3246566400.0,0.0,88993317273.59999,85820206080.0,92.13246706987006
50,200000,7,0,0.0,3050,1482047541580.7998,225171201024.0,3246566400.0,0.0,88990720358.4,85819339200.0,92.13134891970233
50,200000,8,0,0.0,3050,1482050615846.4,225171201024.0,3246566400.0,0.0,88993722624.0,85819480320.0,92.1361453704218
